gene_symbol	disease	disease_category	immune_class	OR	FDR	PP_H4	n_categories	druggability	fda_target	category_label	novelty_priority	s_causal	s_coloc	s_pleio	s_drug	s_cell	p_known	p_mhc
LYPD3	Dementia	Neuro/Aging	Immune-cell-enriched	0.3549918138470115	6.2893731265111856e-18	3.630477406140191e-27	1	1	0	novel nomination	3.0	2.0	3.630477406140191e-27	0.0	0.5	0.5	0.0	0.0
LYPD3	Alzheimer's disease	Neuro/Aging	Immune-cell-enriched	0.2404317489141367	1.5967895998916502e-16	3.598003960133139e-27	1	1	0	novel nomination	3.0	2.0	3.598003960133139e-27	0.0	0.5	0.5	0.0	0.0
IL6ST	Rheumatoid arthritis	Autoimmune	Cytokine/Interleukin	2.632384596643061	1.747727882469251e-14	0.9999999994501394	1	2	0	recovered known axis	2.9999999994501394	2.0	0.9999999994501394	0.0	1.0	0.5	1.5	0.0
PM20D1	Dementia	Neuro/Aging	Immune-cell-enriched	0.8981727785173355	0.0409863144737823	0.6647904472635763	3	1	0	novel nomination	2.942262673679129	0.2774722264155528	0.6647904472635763	1.0	0.5	0.5	0.0	0.0
ERBB3	Rheumatoid arthritis	Autoimmune	Immune-cell-enriched	1.3135853777167552	0.0181029165869503	0.5544326195978327	2	2	0	novel nomination	2.9028829095347524	0.3484502899369199	0.5544326195978327	0.5	1.0	0.5	0.0	0.0
PM20D1	Atrial fibrillation	Cardiovascular	Immune-cell-enriched	1.0976354247760896	0.0305225001002795	0.5860270991811377	3	1	0	novel nomination	2.8891030784144367	0.3030759792332989	0.5860270991811377	1.0	0.5	0.5	0.0	0.0
PVR	Dementia	Neuro/Aging	Immune-cell-enriched	0.5883559376868374	2.288849461903128e-07	1.1448751386226949e-45	1	2	0	novel nomination	2.828076554004602	1.328076554004602	1.1448751386226949e-45	0.0	1.0	0.5	0.0	0.0
LTBP2	Glaucoma	Neuro/Aging	Cytokine/Interleukin	0.6674232931893709	2.281108233734189e-07	0.4550880465894441	2	1	0	novel nomination	2.7834588681664383	1.3283708215769943	0.4550880465894441	0.5	0.5	0.0	0.0	0.0
TGFA	Coeliac disease	Autoimmune	Immune-cell-enriched	0.6354901322318747	0.0328195830058625	0.8803795309036702	1	2	0	NOVEL colocalized	2.6771529191519883	0.2967733882483181	0.8803795309036702	0.0	1.0	0.5	0.0	0.0
CD226	Sarcoidosis	Autoimmune	CD/Leukocyte surface	0.8056068854711766	0.0154414805075911	0.8036050546880004	2	1	0	NOVEL colocalized	2.6658672671790877	0.3622622124910875	0.8036050546880004	0.5	0.5	0.5	0.0	0.0
ANPEP	Type 2 diabetes	Metabolic	Immune-cell-enriched	1.048103391096572	2.3806320706054373e-06	2.493247025954946e-06	2	1	0	novel nomination	2.6246640372700396	1.1246615440230134	2.493247025954946e-06	0.5	0.5	0.5	0.0	0.0
CRIM1	Venous thromboembolism	Cardiovascular	Immune-cell-enriched	0.7945175334649279	0.0154414805075911	0.745751889932544	2	1	0	novel nomination	2.6080141024236316	0.3622622124910875	0.745751889932544	0.5	0.5	0.5	0.0	0.0
PIK3IP1	Hypertension	Cardiovascular	Immune-cell-enriched	1.0484890304176304	0.0036287801965646	0.6181371264452468	2	1	0	novel nomination	2.6061849938858814	0.48804786744063466	0.6181371264452468	0.5	0.5	0.5	0.0	0.0
MAPT	Hypertension	Cardiovascular	Immune-cell-enriched	1.5741270163303778	0.0010268261551648	1.0335211152450364e-06	1	3	1	novel nomination	2.5977016490360225	0.5977006155149072	1.0335211152450364e-06	0.0	1.5	0.5	0.0	0.0
CRIM1	Alzheimer's disease	Neuro/Aging	Immune-cell-enriched	1.4507399690392742	0.0154414805075911	0.7302980120411406	2	1	0	novel nomination	2.592560224532228	0.3622622124910875	0.7302980120411406	0.5	0.5	0.5	0.0	0.0
LIF	Type 1 diabetes	Metabolic	Cytokine/Interleukin	53.92530987716778	5.104031272300649e-08	0.6339948927876629	1	1	0	novel nomination	2.5924122274606374	1.4584173346729743	0.6339948927876629	0.0	0.5	0.0	0.0	0.0
TEX101	Dementia	Neuro/Aging	Immune-cell-enriched	1.334027282151228	3.70299009302803e-06	2.1532171477020964e-63	1	2	0	novel nomination	2.586289489971911	1.0862894899719109	2.1532171477020964e-63	0.0	1.0	0.5	0.0	0.0
SERPING1	Obesity	Metabolic	Complement/Coagulation	1.154874680022266	0.0011461126632473	0.4836078606113315	2	1	0	novel nomination	2.5717623984076283	0.5881545377962969	0.4836078606113315	0.5	0.5	0.5	0.0	0.0
