immune_class	n_class	n_causal_in_class	class_hit_rate	odds_ratio	p	FDR
TNF superfamily	27	2	0.07407407407407407	5.950769230769231	0.05865350241627808	0.3405284278739821
Interferon axis	8	1	0.125	10.051020408163266	0.11350947595799402	0.3405284278739821
Immune checkpoint	18	1	0.05555555555555555	4.0966386554621845	0.2384997200461786	0.4769994400923572
CD/Leukocyte surface	35	1	0.02857142857142857	2.0126050420168067	0.4139897538215412	0.6209846307323118
Cytokine/Interleukin	89	1	0.011235955056179775	0.7337662337662337	0.7529623235233898	0.9018951808188578
Immune-cell-enriched	723	9	0.012448132780082987	0.5840336134453782	0.9018951808188578	0.9018951808188578
