gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
SLC12A2	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I9_DISVEINLYMPH	5516	4.0243160116893224e-115	2.1968170953136565e-36	7.189790092532536e-82	0.0029277322807094663	0.9970722677192757
TNFRSF1A	Vitamin B12 deficiency anaemia	D3_ANAEMIA_B12_DEF	5382	2.3129342472389792e-209	0.001131363345067083	5.824682243296622e-209	0.001852105528697042	0.9970165311262363
SLC12A2	Other disorders of veins	I9_VEINSOTH	5516	8.958470335121728e-98	4.890302034654176e-19	7.786384962128243e-82	0.003253730966305518	0.9967462690336822
ACE	Cardiovascular diseases (excluding rheumatic etc)	FG_CVD	3675	1.0016972720332516e-18	8.080922478881855e-08	5.281176492012732e-14	0.003263710437229955	0.996736208753491
ANXA2	Hypertension	I9_HYPTENS	5590	4.8616900216193084e-201	0.0014953496885119011	9.199697983743001e-201	0.0018329545150931707	0.9966716957964176
SLC12A2	Varicose veins	I9_VARICVE	5516	3.4622291417657213e-112	1.8899818365236374e-33	7.952046246398061e-82	0.003344253637012895	0.9966557463629846
PSRC1	Mixed hyperlipidaemia	E4_HYPERLIPMIX	4665	0.0	1.2196043156904771e-08	0.0	0.0033443264430983166	0.9966556613608001
FES	Cardiovascular diseases (excluding rheumatic etc)	FG_CVD	5936	0.0	1.3747590771759561e-09	0.0	0.003561559360360718	0.9964384392649549
PSRC1	Hyperlipidaemia, other/unspecified	E4_HYPERLIPNAS	4665	0.0	3.749373819645791e-22	0.0	0.0035990669731344564	0.9964009330269595
IL6ST	Atopic dermatitis	L12_ATOPIC	5824	1.9894469360238448e-32	0.002852408838653579	1.2230599655711957e-32	0.0007571959874673241	0.9963903951738776
IL2RA	Nummular dermatitis	L12_DERM_NUMMULAR	8103	2.3347347159461296e-51	0.0019192181605465085	3.3673708083670077e-51	0.0017717653023875128	0.9963090165370629
PSRC1	Disorder of lipoprotein metabolism, unspecified	E4_LIPOPROTNAS	4665	0.0	1.5493632728578744e-06	0.0	0.003963610847170187	0.9960348397895677
CD70	Asthma-related acute respiratory infections	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	6836	1.2333503441457033e-29	0.002000650156727083	1.869094952918368e-29	0.002035944866865125	0.9959634049764038
SCARB1	Coronary revascularization (ANGIO or CABG)	I9_REVASC	6498	0.0	7.465169151449367e-07	0.0	0.004307027592662964	0.995692225890369
TLR1	Acute tubulo-interstitial nephritis	N14_PYELONEPHR	6268	2.076902806337726e-121	0.0017976559818138273	4.252392963587201e-121	0.0026851266840989215	0.9955172173340948
CD70	Asthma-related infections	ASTHMA_INFECTIONS	6836	1.3463648523588387e-29	0.002183973974361119	2.0544871062436678e-29	0.0023371589114460005	0.9954788671142
PSRC1	Metabolic disorders	E4_METABOLIA	4665	0.0	4.043238380903786e-32	0.0	0.004613575170671366	0.9953864248293359
IL2RA	Crohn's disease of small intestine	CHRONSMALL	8103	3.2096928729769694e-51	0.002695357834541119	3.591000093002542e-51	0.002020278376185683	0.9952843637892802
PSRC1	Coronary angioplasty	I9_ANGIO	4665	0.0	9.663434469386848e-12	0.0	0.0047227552895615765	0.9952772447008321
ACE	Dementia	F5_DEMENTIA	3675	1.4203884853943687e-16	1.1442882760134219e-05	7.734324757151364e-14	0.005236146553695184	0.9947524105634636
SLC12A2	Phlebitis and thrombophlebitis (not including DVT)	I9_PHLETHROM	5516	1.099578901851915e-84	6.00244543971709e-06	1.1674988413500345e-81	0.005378595364525958	0.9946154021900324
PSRC1	Familial hypercholesterolemia	E4_FH	4665	0.0	6.336934862613951e-09	0.0	0.0053970095190436045	0.9946029841439676
LAYN	Anogenital herpesviral [herpes simplex] infection	AB1_ANOGENITAL_HERPES_SIMPLEX	4967	9.430882572181175e-15	0.00014380068775282393	4.1319487503136846e-13	0.005305783274971127	0.9945504160368558
PSRC1	Familial hypercholesterolemia, with ischemic heart disease	E4_FH_IHD	4665	0.0	6.225577039939178e-08	0.0	0.005587582035048787	0.9944123557091905
IL2RA	Type 1 diabetes, definitions combined	T1D	8103	3.506680011410365e-55	2.9699863209483745e-07	7.812761064305163e-51	0.0056226491402375485	0.9943770538611345
PSRC1	Coronary atherosclerosis	I9_CORATHER	4665	0.0	7.633807197837327e-24	0.0	0.005629692178687312	0.9943703078212502
ACE	Any dementia (more control exclusions)	KRA_PSY_DEMENTIA_EXMORE	3674	1.5633970088445677e-16	1.2594165060722125e-05	8.513931246253049e-14	0.0058643943596303795	0.9941230114752204
PLAUR	Angina pectoris	I9_ANGINA	6392	2.3966133156133644e-29	9.287183711279914e-06	1.800770082439376e-26	0.005984208324090118	0.9940065044922056
ACE	Dementia, including avohilmo	F5_DEMENTIA_INCLAVO	3675	1.0554645896264292e-15	8.50339867561574e-05	8.583624638568747e-14	0.005921442873397426	0.993993523139756
PSRC1	Myocardial infarction, strict	I9_MI_STRICT	4665	0.0	2.4735566928933223e-10	0.0	0.006127597351457265	0.9938724024011937
IL6ST	Dermatitis and eczema	L12_DERMATITISECZEMA	5824	3.59035537499138e-32	0.005147742933018873	1.6385989852172122e-32	0.0013558772797001635	0.9934963797872859
