gene_symbol	disease	fin_OR	fin_FDR	uk_OR	uk_p	uk_FDR	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated	uk_id	uk_label	uk_caveat
ADM	Atrial fibrillation	1.1149083465239968	0.004782442730421	1.0000674424886795	0.9211313761650035	0.9847158243685254	risk	risk	True	False	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
NUMB	Rheumatoid arthritis	0.7193194403952133	0.0066459572647418	0.9999120671577719	0.9399165971517178	0.9885056883118666	protective	protective	True	False	False	ukb-d-M13_RHEUMA	Neale UKB, RA (ICD M13)	
CDKN1A	Atrial fibrillation	1.3317000490958273	2.1480269213038847e-06	1.0000134039196544	0.9909522376999822	0.9996680071871814	risk	risk	True	False	False	ukb-b-964	UKB, AF/flutter (ICD I48)	
PINLYP	Coronary heart disease	1.1791695035372822	0.0423195031735599	0.9921883079797014	0.001972159822396291	0.07066906030253377	risk	protective	False	False	False	ukb-d-I9_CHD	Neale UKB, major CHD event	
RAB44	Heart failure	0.9389576078792043	0.0174336532880649	1.0006570835528479	0.02580968089755853	0.32404225956695343	protective	risk	False	False	False	ukb-d-I9_HEARTFAIL	Neale UKB, heart failure	
CRISP3	Glaucoma	1.320205869625204	0.0037918629307705	0.9979857820145682	0.09120502970023181	0.5461274027056584	risk	protective	False	False	False	ukb-d-H40	Neale UKB, glaucoma (ICD H40)	
KRT18	Hypertension	1.2352797991689988	0.0090841805644236	0.9900027654049153	0.2786082326127133	0.7651558213177618	risk	protective	False	False	False	ieu-b-5144	Tang UKB, hypertension	
HAVCR1	Coeliac disease	2.414271024768988	0.0058800869391012	0.9984827116495538	0.29886460377688806	0.7814490064324034	risk	protective	False	False	False	ukb-b-8631	UKB, coeliac (self-report)	self-report
EDN1	Ankylosing spondylitis	2.024271739274989	0.0336766945926516	0.9992090377624148	0.38909290392053997	0.8531733464024679	risk	protective	False	False	False	ukb-b-18194	UKB, AS (self-report)	self-report
NRN1	Type 2 diabetes	1.0884674475658291	0.0427806795784465	0.9994692265060666	0.44128224806371197	0.8796954490609158	risk	protective	False	False	False	ukb-b-13806	UKB, T2D (self-report)	self-report
