gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
SCPEP1	Venous thromboembolism	I9_VTE	5319	6.473274377131903e-74	0.06013276813554711	8.728313709034875e-74	0.08022106104187829	0.8596461708225693
TNFRSF1A	Ankylosing spondylitis	M13_ANKYLOSPON	5382	4.581988026472075e-208	0.022402332314780324	2.4388281382927357e-207	0.11838037499131265	0.8592172926938795
CTLA4	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	4428	8.055215407586971e-80	3.356503357413008e-16	3.746402524668888e-65	0.15526297724678045	0.8447370227532178
IL12RB2	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	5640	0.0	0.08235267751967017	0.0	0.09479707485186471	0.8228502476284897
HAVCR2	Alzheimer's disease	G6_AD_WIDE	6482	5.101824515447877e-133	0.09074686180171739	5.1568146899039845e-133	0.09090663317328883	0.8183465050249855
IL6ST	Psoriasis	L12_PSORIASIS	5824	7.820142291474463e-31	0.11214535688308014	5.344778512317779e-31	0.07583519122333389	0.8120194518935863
MYL6B	Rheumatoid arthritis	M13_RHEUMA	3502	5.401179109409695e-31	0.019826364486615646	4.6684952300779125e-30	0.1705590554095652	0.8096145801038143
CD226	Sarcoidosis	D3_SARCOIDOSIS	6361	0.0	0.0465147752648065	0.0	0.14988017004715493	0.8036050546880004
SCARF1	Alzheimer's disease	G6_AD_WIDE	6899	0.01455421466859338	0.1164719996432722	0.007377103871289459	0.058232871330344424	0.8033638104865007
LTBR	Sarcoidosis	D3_SARCOIDOSIS	5373	2.83733667505327e-200	0.006894689537250272	8.280811277920409e-199	0.2004299126009794	0.7926753978617789
DPEP2	Osteoporosis	M13_OSTEOPOROSIS	3549	3.219983717785138e-160	0.14088755819045895	1.537268371348622e-160	0.0664691835411928	0.7926432582683223
PVALB	Sarcoidosis	D3_SARCOIDOSIS	5801	0.0	0.13509956166062403	0.0	0.09128939417293636	0.7736110441665229
SPON2	Glaucoma	H7_GLAUCOMA	5946	3.290273063954761e-86	0.012453994586448774	6.292899906265665e-85	0.23744210642015262	0.7501038989933925
CRIM1	Venous thromboembolism	I9_VTE	7127	3.1641063794716177e-65	0.11201886981806289	4.038498919581343e-65	0.14222924024940053	0.745751889932544
PSAP	Coronary heart disease	I9_CHD	5726	2.5504531269514983e-53	0.18330171384829017	1.0060819990867211e-53	0.07156223268651188	0.745136053465194
ACE	Hypertension	I9_HYPTENS	3675	2.895185972923345e-19	2.334851402571103e-08	3.292831672331648e-12	0.26481849003836894	0.7351814866098264
SEZ6	Osteoporosis	M13_OSTEOPOROSIS	3008	0.14170786586845757	0.053042356495839875	0.05438541358179436	0.0196256446314073	0.7312387194225011
CRIM1	Alzheimer's disease	G6_AD_WIDE	7127	2.1312029933617774e-65	0.07545719136456662	5.506850940799266e-65	0.19424479659430433	0.7302980120411406
AAMDC	Hypertension	I9_HYPTENS	4285	1.8287495622315786e-71	0.05132196886457341	7.928292468862773e-71	0.22177243911851055	0.7269055920169191
IL1RL1	Coeliac disease	K11_COELIAC	5122	2.0385198849453688e-142	0.12176042616960225	2.6813380039647846e-142	0.15943703429021083	0.7188025395401767
SNX2	Psoriasis	L12_PSORIASIS	5197	1.973916931936476e-28	0.18061401781397332	1.2311018620328556e-28	0.1119387589278185	0.7074472232582114
CD226	Type 1 diabetes	T1D	6361	0.0	0.1196777418677682	0.0	0.17639462635459785	0.7039276317776381
PM20D1	Obesity	E4_OBESITY	3996	0.0	0.1443744047542903	0.0	0.16162845940124915	0.6939971358444582
TNFSF8	Coeliac disease	K11_COELIAC	6575	4.378666615301342e-284	0.04501268748016996	2.5990970660879757e-283	0.2664986581304466	0.6884886543893418
PM20D1	Dementia	F5_DEMENTIA	3996	0.0	0.22376232801280002	0.0	0.11144722472364377	0.6647904472635763
LILRB2	Dementia	F5_DEMENTIA	7883	5.7953698978714e-101	0.19236856346634226	4.412895213798552e-101	0.14581758746018667	0.6618138490734694
TNFSF13	Glaucoma	H7_GLAUCOMA	5618	1.5624865431643945e-277	0.05528690989904338	8.105022092414451e-277	0.2861289264958685	0.6585841636050902
PFKFB2	Heart failure	I9_HEARTFAIL	3971	4.406503649191439e-14	0.2943660047123353	8.171354462123175e-15	0.053935092749044254	0.6516989025385677
PF4	Type 2 diabetes	T2D	4281	1.7591631031799672e-07	0.2571263978113498	6.936421006129327e-08	0.10074340637551855	0.6421299505326118
LIF	Type 1 diabetes	T1D	5206	1.0450793992291248e-08	1.6847983743014503e-08	0.14036047611647676	0.22564460379708143	0.6339948927876629
AAMDC	Venous thromboembolism	I9_VTE	4285	1.4390055160093259e-71	0.040491603224313596	1.1899477500206007e-70	0.3342093601460485	0.6252990366296263
GSTM4	Heart failure	I9_HEARTFAIL	5067	0.0	0.2928281234160982	0.0	0.08464316608334795	0.6225287105003765
SPINK8	Hypertension	I9_HYPTENS	2470	2.755797007627944e-97	3.6025254793319035e-06	2.912442171103896e-92	0.38011015662661984	0.6198862408478872
SCARF1	Dementia	F5_DEMENTIA	6899	0.0076856107090045684	0.06149565578574374	0.03479878510464899	0.27782084648366556	0.6181991019169373
PIK3IP1	Hypertension	I9_HYPTENS	5764	0.0	0.01887801644598771	0.0	0.36298485710881434	0.6181371264452468
CRIM1	Dementia	F5_DEMENTIA	7127	6.155777640179997e-65	0.21794954190622562	4.717230740044178e-65	0.16640115002331318	0.6156493080704599
PACS2	Type 2 diabetes	T2D	5467	4.4710019149580903e-11	0.27051719485612186	1.8992967918474185e-11	0.11430144137601393	0.6151813637041613
LTBP2	Hypertension	I9_HYPTENS	5062	2.429584959475146e-56	0.0715681370451402	1.098527642498828e-55	0.32298717783100583	0.6054446851238643
PILRA	Dementia	F5_DEMENTIA	3811	1.4391676313067906e-20	0.062291726226204956	7.839685521414287e-20	0.338727400276458	0.5989808734973336
AAMDC	Chronic kidney disease	N14_CHRONKIDNEYDIS	4285	4.445881169955169e-71	0.12569292334746657	1.0116147104373833e-70	0.2854124747452039	0.5888946019073391
PM20D1	Atrial fibrillation	I9_AF	3996	0.0	0.1604662372698461	0.0	0.25350666354899154	0.5860270991811377
TGFB2	Venous thromboembolism	I9_VTE	6008	1.2735240730444363e-07	0.03578635981076721	1.3926579561975048e-06	0.39076708608496424	0.5734450340939056
ERBB3	Rheumatoid arthritis	M13_RHEUMA	3989	7.925642685935415e-89	0.044302262549374846	7.188522657772004e-88	0.4012651178527962	0.5544326195978327
TPPP3	Coronary heart disease	I9_CHD	3230	2.791867913829553e-51	0.13243699575235068	6.763449916861449e-51	0.3202884582168301	0.5472745460308236
NOMO1	Type 2 diabetes	T2D	3017	5.348401285969938e-69	0.00039260861896068665	6.333039201948447e-66	0.46435240806905076	0.5352549833119766
PILRB	Dementia	F5_DEMENTIA	3754	0.0	0.07117713613333779	0.0	0.3961361865495916	0.5326866773174385
HAVCR2	Dementia	F5_DEMENTIA	6482	1.9355154492419488e-133	0.03443976111543951	2.5305299771166886e-132	0.4497562304591665	0.5158040084254029
SERPING1	Obesity	E4_OBESITY	5203	4.502043493775033e-249	0.0025816337768369327	8.968640278182474e-247	0.5138105056118351	0.48360786061133154
TNFRSF14	Obesity	E4_OBESITY	6039	0.0	0.04821510212902773	0.0	0.4911548829009278	0.4606300149700093
TMEM106A	Hypertension	I9_HYPTENS	3677	1.0154477260019365e-66	0.09537788524087304	4.752607757293794e-66	0.445939162710336	0.4586829520487956
LTBP2	Glaucoma	H7_GLAUCOMA	5062	4.597404684028534e-62	1.354246364345198e-07	1.851415247860286e-55	0.5449118179859229	0.4550880465894441
TGFB2	Atrial fibrillation	I9_AF	6008	8.099297327858463e-08	0.022798840820001456	1.90382817188892e-06	0.5354698897422994	0.4417292846165523
EPHB4	Dementia	F5_DEMENTIA	4885	0.0	0.09024998090362689	0.0	0.4777987759843709	0.4319512431118273
VAT1	Hypertension	I9_HYPTENS	3673	1.0968491547198659e-250	0.09572589109965818	5.5071374557154556e-250	0.480203222381772	0.4240708865185141
ADM	Atrial fibrillation	I9_AF	6328	0.0	0.011893405167653939	0.0	0.5655783839713096	0.4225282108609871
DENR	Atrial fibrillation	I9_AF	4584	1.2482450090566163e-77	0.004268573301326757	1.8082275864473483e-75	0.6179745651770013	0.37775686152168164
LTBP3	Type 2 diabetes	T2D	3546	0.0	0.022885163759457063	0.0	0.6489841918593707	0.328130644381161
STK11	Coronary heart disease	I9_CHD	7231	1.0192731281639502e-155	0.03287998477462832	2.1122887717925235e-154	0.6811017347869395	0.2860182804384474
IL4	Coronary heart disease	I9_CHD	4756	5.084903832231085e-52	0.01075082195610399	3.4524514160603295e-50	0.7296793180870841	0.2595698599568171
MPO	Type 2 diabetes	T2D	4307	5.622736722331853e-289	0.10680860558102673	3.4972254353173924e-288	0.6640982452893391	0.22909314912968662
JMJD1C	Hypertension	I9_HYPTENS	5289	3.250463893721824e-09	4.586562401385449e-05	5.748084095670681e-05	0.8108935763734738	0.18900307391109175
