source_cell	n_source	n_causal	hit_rate	odds_ratio	p
Granulocyte	434	64	0.14746543778801843	1.3941621621621623	0.06056345890122277
Myeloid/Monocyte	312	40	0.1282051282051282	0.9956279809220986	0.5470394148764577
T-cell	155	19	0.12258064516129032	0.9367647058823529	0.6392995261188584
Dendritic	201	22	0.10945273631840796	0.7935389846975953	0.8508745189591219
B-cell	86	8	0.09302325581395349	0.6724721819061442	0.8896512376933421
NK-cell	77	6	0.07792207792207792	0.5492957746478874	0.9492335478274009
