gene_symbol	disease	phenocode	category	disease_system	immune_class	OR	FDR	PP_H4	pqtl_OR	pqtl_p	pqtl_PPH4	pqtl_concordant	two_population_validated	n_categories	druggability	fda_target	category_label	novelty_priority	s_causal	s_coloc	s_pleio	s_drug	s_cell	s_protein	s_repl	p_known	p_mhc
TNFRSF14	Reimbursement for rheumatic diseases	K11_REIMB_202	Gastrointestinal endpoints	Gastrointestinal	TNF superfamily	0.9001434548948377	0.0149762968255958	0.7507307942872905	1.0491469256596813	0.6356145982342076	0.2187158659006814	False	False	7	1	0	recovered known axis	1.615649906474819	0.3649191121875287	0.7507307942872905	1.5	0.5	0.0	0.0	0.0	1.5	0.0
HHEX	Inflammatory bowel disease, strict (require KELA)	K11_IBD_STRICT	XI Diseases of the digestive system (K11_)	Gastrointestinal	Immune-cell-enriched	1.349863384311219	0.0130302153620398	0.7280149992604086				False	False	1	0	0	novel nomination	1.6050246805112522	0.3770096812508436	0.7280149992604086	0.0	0.0	0.5	0.0	0.0	0.0	0.0
PPP1R14A	Diverticular disease of intestine	K11_DIVERTIC	XI Diseases of the digestive system (K11_)	Gastrointestinal	Immune-cell-enriched	1.1781655848456338	0.0009819064170371	3.2218578481483498e-06				False	False	2	0	0	novel nomination	1.6015892022029217	0.6015859803450734	3.2218578481483498e-06	0.5	0.0	0.5	0.0	0.0	0.0	0.0
SNCA	Dementia due to Parkinson's disease (more control exclusions)	PD_DEMENTIA_EXMORE	Neurological endpoints	Neurological/Psychiatric	Immune-cell-enriched	0.3236829234187762	0.0173509908521347	0.7486987042253986	0.647863836805768	0.2631719278920594	0.0194201241677965	False	False	1	0	0	novel nomination	1.6008338480619546	0.35213514383655586	0.7486987042253986	0.0	0.0	0.5	0.0	0.0	0.0	0.0
TRIM25	Acute sinusitis	J10_SINUSITIS	X Diseases of the respiratory system (J10_)	Respiratory	Immune-cell-enriched	0.4434681186033891	0.0392157058200651	0.8034053374278649				False	False	1	0	0	NOVEL colocalized	1.58471333022318	0.2813079927953151	0.8034053374278649	0.0	0.0	0.5	0.0	0.0	0.0	0.0
KRT18	Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)	C3_PROSTATE_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	Neoplasm	Immune-cell-enriched	0.5414319229023015	0.0018220287255026	9.593688087736506e-09	1.040846460996059	0.766986156864035	0.0899138464354181	False	False	2	0	0	novel nomination	1.547888965666849	0.5478889560731609	9.593688087736506e-09	0.5	0.0	0.5	0.0	0.0	0.0	0.0
SLC16A1	Cardiovascular diseases (excluding rheumatic etc)	FG_CVD	Cardiometabolic endpoints	Cardiovascular	Immune-cell-enriched	0.8192841215852463	0.0019736191419492	9.213959790063976e-07				False	False	1	1	0	novel nomination	1.5409482516591693	0.5409473302631903	9.213959790063976e-07	0.0	0.5	0.5	0.0	0.0	0.0	0.0
INPP1	Basal cell carcinoma, including avohilmo, excluding all cancers (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	Neoplasm	Immune-cell-enriched	0.828446326943843	0.0088084123233094	0.6281638619267068				False	False	1	0	0	novel nomination	1.5391843347587901	0.41102047283208326	0.6281638619267068	0.0	0.0	0.5	0.0	0.0	0.0	0.0
INPP1	Basal cell carcinoma, excluding all cancers (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_EXALLC	II Neoplasms, from cancer register (ICD-O-3)	Neoplasm	Immune-cell-enriched	0.8271098191565317	0.0095309445659592	0.6316762930804609				False	False	1	0	0	novel nomination	1.5358491043598104	0.40417281127934945	0.6316762930804609	0.0	0.0	0.5	0.0	0.0	0.0	0.0
C2	Systemic connective tissue disorders	M13_SYSTCONNECT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	Musculoskeletal	Complement/Coagulation	1.897941086579478	7.2247478898366754e-06					False	False	11	1	0	MHC-caution	1.5282354606336765	1.0282354606336763	0.0	1.5	0.5	0.5	0.0	0.0	0.0	2.0
