Rank	Disease	Category	Protein	Gene	Protein_class	Immune_class	Plasma_detectability	PIRS_coefficient	PIRS_direction	CV_stability	Sensitivity_contrib	Specificity_contrib	AUROC_contrib	MR_OR	MR_FDR	MR_support	Coloc_PP_H4	Coloc_support	pQTL_support	Protein_level_causal	Replication	Known_drug_status	Druggability	Novelty_score_PINS	Novelty_tier	Novelty_tier_label	Causal_predictive_concordance	Therapeutic_direction	Biomarker_or_target	Best_figure_panel	Best_validation_experiment	Final_recommendation
26	Coeliac disease	Autoimmune	Protransforming growth factor alpha	TGFA	Cancer-related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.635	3.28e-02	yes	0.88	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Moderate	2.344	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
27	Sjogren syndrome	Autoimmune	Urokinase-type plasminogen activator	PLAU	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.656	2.23e-03	yes	0.977	yes (PP.H4>=0.8)	no	no	not covered	not an approved target	Low-moderate	2.341	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
28	Type 1 diabetes	Metabolic	Pro-cathepsin H	CTSH	Cancer-related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.228	1.21e-04	yes	0.998	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Uncertain	2.282	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
29	Coronary heart disease	Cardiovascular	Scavenger receptor class B member 1	SCARB1	Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Immune-cell-enriched	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.907	3.79e-03	yes	0.956	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	2.273	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
30	Atrial fibrillation	Cardiovascular	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	PFKFB2	Enzymes, Metabolic proteins, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.561	6.51e-04	yes	0.99	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Uncertain	2.127	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
31	Type 2 diabetes	Metabolic	C-type lectin domain family 4 member A	CLEC4A	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.906	1.02e-02	yes	0.861	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	2.093	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
32	Venous thromboembolism	Cardiovascular	Retinoid-inducible serine carboxypeptidase	SCPEP1	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.277	1.02e-02	yes	0.86	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	2.091	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
33	Hypertension	Cardiovascular	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	PFKFB2	Enzymes, Metabolic proteins, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.725	1.58e-03	yes	0.968	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Uncertain	2.028	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
34	Alzheimer's disease	Neuro/Aging	Hepatitis A virus cellular receptor 2	HAVCR2	CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Immune checkpoint	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.757	2.44e-02	yes	0.818	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	1.974	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
35	Rheumatoid arthritis	Autoimmune	Carbonic anhydrase-related protein	CA8	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.746	1.18e-03	yes	0.883	yes (PP.H4>=0.8)	no	no	replicated	not an approved target	Uncertain	1.968	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
36	Alzheimer's disease	Neuro/Aging	Scavenger receptor class F member 1	SCARF1	Predicted membrane proteins	Immune-cell-enriched	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	2.558	3.21e-02	yes	0.803	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	1.935	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
37	Autoimmune hyperthyroidism	Autoimmune	Interleukin-12 receptor subunit beta-2	IL12RB2	Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.324	4.04e-02	yes	0.823	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	1.935	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
38	Venous thromboembolism	Cardiovascular	PDZ and LIM domain protein 7	PDLIM7	Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.718	4.82e-03	yes	0.955	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Uncertain	1.918	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
39	Dementia	Neuro/Aging	Rap guanine nucleotide exchange factor 2	RAPGEF2	Disease related genes, Human disease related genes, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.109	6.52e-03	yes	0.94	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Uncertain	1.878	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
40	Coeliac disease	Autoimmune	Protein numb homolog	NUMB	Cancer-related genes, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.565	5.54e-03	yes	0.902	yes (PP.H4>=0.8)	no	no	not covered	not an approved target	Uncertain	1.853	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
41	Rheumatoid arthritis	Autoimmune	Protein numb homolog	NUMB	Cancer-related genes, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.719	6.65e-03	yes	0.903	yes (PP.H4>=0.8)	no	no	concordant (ns)	not an approved target	Uncertain	1.838	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
42	Alzheimer's disease	Neuro/Aging	Rap guanine nucleotide exchange factor 2	RAPGEF2	Disease related genes, Human disease related genes, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.153	1.04e-02	yes	0.939	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Uncertain	1.836	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
43	Crohn's disease	Autoimmune	Histamine N-methyltransferase	HNMT	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.642	1.69e-02	yes	0.926	yes (PP.H4>=0.8)	no	no	not covered	not an approved target	Uncertain	1.78	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
44	Rheumatoid arthritis	Autoimmune	Myosin light chain 6B	MYL6B	Plasma proteins, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.396	5.52e-03	yes	0.81	yes (PP.H4>=0.8)	no	no	replicated	not an approved target	Uncertain	1.761	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
45	Crohn's disease	Autoimmune	B-cell CLL/lymphoma 7 protein family member A	BCL7A	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.573	2.75e-02	yes	0.874	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Uncertain	1.686	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
46	Hypertension	Cardiovascular	Angiotensin-converting enzyme	ACE	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.611	7.26e-09	yes	0.735	no	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	4.363	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
47	Venous thromboembolism	Cardiovascular	Endothelial protein C receptor	PROCR	Candidate cardiovascular disease genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Immune-cell-enriched	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.547	6.29e-18	yes	0.0	no	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	3.5	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
48	Glaucoma	Neuro/Aging	Latent-transforming growth factor beta-binding protein 2	LTBP2	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Cytokine/Interleukin	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.667	2.28e-07	yes	0.455	no	no	no	not tested	not an approved target	Low-moderate	3.117	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
49	Hypertension	Cardiovascular	Serine protease inhibitor Kazal-type 8	SPINK8	Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.848	1.62e-06	yes	0.62	no	no	no	not tested	not an approved target	Low-moderate	3.111	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
50	Sarcoidosis	Autoimmune	Tumor necrosis factor receptor superfamily member 3	LTBR	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.391	3.79e-03	yes	0.793	no	yes (concordant, protein-level)	no	replicated	not an approved target	Low-moderate	3.11	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
51	Type 1 diabetes	Metabolic	Leukemia inhibitory factor	LIF	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Cytokine/Interleukin	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	53.925	5.10e-08	yes	0.634	no	no	no	not tested	not an approved target	Low-moderate	2.926	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
52	Obesity	Metabolic	N-fatty-acyl-amino acid synthase/hydrolase PM20D1	PM20D1	Enzymes, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.097	2.31e-02	yes	0.694	no	no	no	not tested	not an approved target	Low-moderate	2.855	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
53	Dementia	Neuro/Aging	Ly6/PLAUR domain-containing protein 3	LYPD3	Predicted membrane proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.355	6.29e-18	yes	0.0	no	no	no	not tested	not an approved target	Low-moderate	2.833	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
54	Alzheimer's disease	Neuro/Aging	Ly6/PLAUR domain-containing protein 3	LYPD3	Predicted membrane proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.24	1.60e-16	yes	0.0	no	no	no	not tested	not an approved target	Low-moderate	2.833	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
55	Dementia	Neuro/Aging	N-fatty-acyl-amino acid synthase/hydrolase PM20D1	PM20D1	Enzymes, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.898	4.10e-02	yes	0.665	no	no	no	not tested	not an approved target	Low-moderate	2.776	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
56	Atrial fibrillation	Cardiovascular	N-fatty-acyl-amino acid synthase/hydrolase PM20D1	PM20D1	Enzymes, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.098	3.05e-02	yes	0.586	no	no	no	not tested	not an approved target	Low-moderate	2.722	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
57	Rheumatoid arthritis	Autoimmune	Receptor tyrosine-protein kinase erbB-3	ERBB3	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.314	1.81e-02	yes	0.554	no	no	no	replicated	not an approved target	Moderate	2.57	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
58	Heart failure	Cardiovascular	Cyclin-dependent kinase inhibitor 1	CDKN1A	Cancer-related genes, Human disease related genes, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.48	3.33e-14	yes	NA	no	no	no	not tested	not an approved target	Uncertain	2.5	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
59	Dementia	Neuro/Aging	Poliovirus receptor	PVR	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.588	2.29e-07	yes	0.0	no	no	no	not tested	not an approved target	Moderate	2.495	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
60	Type 2 diabetes	Metabolic	Aminopeptidase N	ANPEP	CD markers, Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.048	2.38e-06	yes	0.0	no	no	no	not tested	not an approved target	Low-moderate	2.458	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
61	Venous thromboembolism	Cardiovascular	Cysteine-rich motor neuron 1 protein	CRIM1	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.795	1.54e-02	yes	0.746	no	no	no	not tested	not an approved target	Low-moderate	2.441	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
62	Hypertension	Cardiovascular	Phosphoinositide-3-kinase-interacting protein 1	PIK3IP1	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.048	3.63e-03	yes	0.618	no	no	no	not tested	not an approved target	Low-moderate	2.44	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
63	Alzheimer's disease	Neuro/Aging	Cysteine-rich motor neuron 1 protein	CRIM1	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.451	1.54e-02	yes	0.73	no	no	no	not tested	not an approved target	Low-moderate	2.426	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
