Rank	Disease	Category	Protein	Gene	Protein_class	Immune_class	Plasma_detectability	PIRS_coefficient	PIRS_direction	CV_stability	Sensitivity_contrib	Specificity_contrib	AUROC_contrib	MR_OR	MR_FDR	MR_support	Coloc_PP_H4	Coloc_support	pQTL_support	Protein_level_causal	Replication	Known_drug_status	Druggability	Novelty_score_PINS	Novelty_tier	Novelty_tier_label	Causal_predictive_concordance	Therapeutic_direction	Biomarker_or_target	Best_figure_panel	Best_validation_experiment	Final_recommendation
11	Alzheimer's disease	Neuro/Aging	Angiotensin-converting enzyme	ACE	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.43	6.05e-03	yes	0.978	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	3.421	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
12	Type 2 diabetes	Metabolic	Serine protease inhibitor Kazal-type 8	SPINK8	Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.834	8.44e-06	yes	0.974	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	3.323	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
13	Hypertension	Cardiovascular	Tyrosine-protein kinase Mer	MERTK	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.062	5.03e-06	yes	0.872	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	3.265	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
14	Type 1 diabetes	Metabolic	N-fatty-acyl-amino acid synthase/hydrolase PM20D1	PM20D1	Enzymes, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.758	2.99e-03	yes	0.918	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	3.256	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
15	Hypertension	Cardiovascular	Annexin A2	ANXA2	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.11	2.75e-04	yes	0.997	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	3.209	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
16	Coeliac disease	Autoimmune	Hepatitis A virus cellular receptor 1	HAVCR1	CD markers, Predicted membrane proteins	Immune-cell-enriched	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	2.414	5.88e-03	yes	0.912	yes (PP.H4>=0.8)	yes (concordant, protein-level)	yes	not covered	not an approved target	Low-moderate	3.192	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Therapeutic target (protein-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
17	Epilepsy	Neuro/Aging	N-fatty-acyl-amino acid synthase/hydrolase PM20D1	PM20D1	Enzymes, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.869	7.10e-03	yes	0.887	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	3.15	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize / recombinant-protein replacement (protective, secreted)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
18	Guillain-Barre	Autoimmune	Sialic acid-binding Ig-like lectin 9	SIGLEC9	Predicted membrane proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	2.943	1.55e-02	yes	0.948	yes (PP.H4>=0.8)	yes (concordant, protein-level)	yes	not covered	not an approved target	Low-moderate	3.143	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Therapeutic target (protein-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
19	Guillain-Barre	Autoimmune	Sialic acid-binding Ig-like lectin 7	SIGLEC7	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	3.053	1.55e-02	yes	0.948	yes (PP.H4>=0.8)	yes (concordant, protein-level)	yes	not covered	not an approved target	Low-moderate	3.143	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Therapeutic target (protein-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
20	Type 1 diabetes	Metabolic	T-cell surface antigen CD2	CD2	CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	CD/Leukocyte surface	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	4.076	2.23e-03	yes	0.979	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	3.009	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
21	Obesity	Metabolic	Coagulation factor XII	F12	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.476	6.81e-03	yes	0.947	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	2.88	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
22	Atrial fibrillation	Cardiovascular	Receptor tyrosine-protein kinase erbB-2	ERBB2	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Immune-cell-enriched	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.654	1.88e-02	yes	0.902	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	2.747	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
23	Sarcoidosis	Autoimmune	CD226 antigen	CD226	CD markers, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins	CD/Leukocyte surface	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.806	1.54e-02	yes	0.804	yes (PP.H4>=0.8)	no	no	concordant (ns)	not an approved target	Low-moderate	2.499	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
24	Atrial fibrillation	Cardiovascular	Tyrosine-protein kinase Fes/Fps	FES	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.878	2.19e-05	yes	0.991	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Uncertain	2.423	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then over-expression/supplementation in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
25	Obesity	Metabolic	Latent-transforming growth factor beta-binding protein 3	LTBP3	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Cytokine/Interleukin	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.127	1.03e-03	yes	0.947	yes (PP.H4>=0.8)	no	no	not tested	not an approved target	Low-moderate	2.378	4	Prioritized causal target (transcript-level)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Prioritized target (transcript-level)	Panel E (novelty-priority map)	Protein-level pQTL-MR + coloc in an independent plasma pQTL panel (UKB-PPP/deCODE); then neutralization/knockdown in relevant primary cells	Prioritize: obtain plasma pQTL to upgrade to protein-level
