gene_symbol	phenocode	disease	uk_id	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
ERBB2	ASTHMA_PNEUMONIA	Asthma-related pneumonia	ukb-d-ASTHMA_PNEUMONIA	2.0803278341155	0.0319839945600214	1.001142011526684	0.8036139853327018	+	+	True	False	False
MAPRE3	M13_SOFTTISSUEOTH	Other soft tissue disorders, not elsewhere classified	ukb-d-M13_SOFTTISSUEOTH	0.8007621612666683	0.0003211687329817	1.001005600169279	0.6387106808392193	-	+	False	False	False
CD55	H7_RETINALDETACHBREAK	Retinal detachment with retinal break	ukb-d-H7_RETINALDETACHBREAK	0.8586349958090447	0.0005452351896407	0.9994149552883899	0.001604691001653811	-	-	True	True	True
PHOSPHO1	H7_RETINALDETACHBREAK	Retinal detachment with retinal break	ukb-d-H7_RETINALDETACHBREAK	1.7424506486721416	0.0199035687474798	1.000803638418573	0.3475221301670108	+	+	True	False	False
PSRC1	I9_UAP	Unstable angina pectoris	ukb-d-I9_UAP	0.8596044631521627	0.0011000243170171	0.9981485144285863	0.0010244669449160026	-	-	True	True	True
TNFSF12	H7_EYELIDDIS	Other disorders of eyelid	ukb-d-H7_EYELIDDIS	1.1132031491779093	0.0012161507774307	0.9997432663508683	0.6147135837180057	+	-	False	False	False
MAPRE3	M13_LIMBPAIN	Pain in limb	ukb-d-M13_LIMBPAIN	0.7891525684620998	0.0020906427087545	0.9998544002055315	0.9243687619286091	-	-	True	False	False
PSRC1	C_STROKE	STROKE	ukb-d-C_STROKE	0.9147491208888632	0.0037512437016884	0.9982181251570229	0.017547091600062216	-	-	True	True	True
FES	C_STROKE	STROKE	ukb-d-C_STROKE	0.9179329057337916	0.0363097730735885	0.9983324269766223	0.03517090586047742	-	-	True	True	True
MAPRE3	M13_SPONDYLOPATHY	Spondylopathies	ukb-d-M13_SPONDYLOPATHY	0.8008210735695058	0.003787493718214	0.9990485961020545	0.5697711711693993	-	-	True	False	False
DENR	M13_SPONDYLOPATHY	Spondylopathies	ukb-d-M13_SPONDYLOPATHY	0.8535431281213816	0.0449833554016796	1.0005564307185457	0.6942298653205422	-	+	False	False	False
TGFA	K11_OTHDIG	Diseases of the digestive system	ukb-d-K11_OTHDIG	0.7512635907226819	0.0053135653526621	0.9996160642057068	0.8356263557079329	-	-	True	False	False
IL4	H7_CHALAZION	Chalazion	ukb-d-H7_CHALAZION	2.1300355917440137	0.0056805686693544	1.0015911007863576	0.31138008812675816	+	+	True	False	False
BMP6	M13_MENISCUSDERANGEMENTS	Meniscus derangement	ukb-d-M13_MENISCUSDERANGEMENTS	0.7178876641257432	0.0075276428544536	0.9883075928237846	0.00044836254220703437	-	-	True	True	True
