Rank	Disease	Category	Protein	Gene	Protein_class	Immune_class	Plasma_detectability	PIRS_coefficient	PIRS_direction	CV_stability	Sensitivity_contrib	Specificity_contrib	AUROC_contrib	MR_OR	MR_FDR	MR_support	Coloc_PP_H4	Coloc_support	pQTL_support	Protein_level_causal	Replication	Known_drug_status	Druggability	Novelty_score_PINS	Novelty_tier	Novelty_tier_label	Causal_predictive_concordance	Therapeutic_direction	Biomarker_or_target	Best_figure_panel	Best_validation_experiment	Final_recommendation
464	Statin medication	Cardiovascular	Hepatitis A virus cellular receptor 1	HAVCR1	CD markers, Predicted membrane proteins	Immune-cell-enriched	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.616	2.93e-16	yes	0.0	no	no	no	not tested	not an approved target	Low-moderate	3.833	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
465	Allergic asthma (mode)	Respiratory	Interleukin-18 receptor accessory protein	IL18RAP	CD markers, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.907	1.09e-05	yes	0.0	no	no	no	not tested	not an approved target	Low-moderate	3.826	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
466	Coronary artery bypass grafting	Cardiovascular	Tyrosine-protein kinase Fes/Fps	FES	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.832	2.53e-03	yes	0.787	no	no	no	not tested	not an approved target	Uncertain	3.807	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
467	Type 1 diabetes, definitions combined	Metabolic/Endocrine	Leukemia inhibitory factor	LIF	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Cytokine/Interleukin	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	53.925	3.86e-07	yes	0.634	no	no	no	not tested	not an approved target	Low-moderate	3.75	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
468	Carpal tunnel syndrome	Neurological/Psychiatric	Latent-transforming growth factor beta-binding protein 3	LTBP3	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Cytokine/Interleukin	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.12	3.09e-02	yes	0.07	no	no	no	not tested	not an approved target	Low-moderate	3.706	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
469	Coronary atherosclerosis	Cardiovascular	Tyrosine-protein kinase Fes/Fps	FES	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.889	5.18e-06	yes	0.12	no	no	no	replicated (FinnGen + UK Biobank)	not an approved target	Uncertain	3.677	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
470	Dermatitis and eczema	Dermatological	Interleukin-18 receptor accessory protein	IL18RAP	CD markers, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.958	6.05e-05	yes	0.0	no	no	no	not tested	not an approved target	Low-moderate	3.677	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
471	Childhood allergy (age < 16)	Respiratory	Toll-like receptor 1	TLR1	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Immune-cell-enriched	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.318	2.63e-04	yes	0.612	no	no	no	not tested	not an approved target	Low-moderate	3.661	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
472	Asthma (only as main-diagnosis) (more control exclusions)	Respiratory	Interleukin-4 receptor subunit alpha	IL4R	Cancer-related genes, CD markers, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Cytokine/Interleukin	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.821	1.72e-06	yes	0.0	no	yes (concordant, protein-level)	no	replicated (FinnGen + UK Biobank)	not an approved target	High (FDA-precedented class, tractable)	3.653	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
473	Hypertension	Cardiovascular	Microtubule-associated protein RP/EB family member 3	MAPRE3	Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.838	5.45e-04	yes	0.0	no	no	no	not tested	not an approved target	Uncertain	3.653	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
474	Type1 diabetes, definitions combined, early onset	Metabolic/Endocrine	Leukemia inhibitory factor	LIF	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Cytokine/Interleukin	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	93.426	7.76e-06	yes	0.785	no	no	no	not tested	not an approved target	Low-moderate	3.64	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
475	Asthma-related pneumonia	Respiratory	Interleukin-18 receptor accessory protein	IL18RAP	CD markers, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.925	2.00e-04	yes	0.064	no	no	no	not tested	not an approved target	Low-moderate	3.637	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
476	Asthma-related pneumonia	Respiratory	Plasma protease C1 inhibitor	SERPING1	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Complement/Coagulation	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.233	1.76e-03	yes	0.753	no	no	no	replicated (FinnGen + UK Biobank)	not an approved target	Low-moderate	3.637	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
477	Other degenerative diseases of the nervous system	Gastrointestinal	Ly6/PLAUR domain-containing protein 3	LYPD3	Predicted membrane proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.453	4.64e-07	yes	0.0	no	no	no	not tested	not an approved target	Low-moderate	3.6	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
478	Hallux valgus (acquired)	Musculoskeletal	Transforming growth factor beta-2 proprotein	TGFB2	Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins	Cytokine/Interleukin	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	2.697	1.88e-03	yes	0.712	no	yes (concordant, protein-level)	no	not tested	not an approved target	Low-moderate	3.591	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
479	Hypertension, essential	Cardiovascular	Microtubule-associated protein RP/EB family member 3	MAPRE3	Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.837	1.48e-03	yes	0.0	no	no	no	not tested	not an approved target	Uncertain	3.566	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
480	Chronic lower respiratory diseases	Respiratory	Toll-like receptor 1	TLR1	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Immune-cell-enriched	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	1.086	2.37e-04	yes	0.504	no	no	no	not tested	not an approved target	Low-moderate	3.562	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Block (antagonist / neutralizing antibody / small molecule)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
481	Statin medication	Cardiovascular	Poliovirus receptor	PVR	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Immune-cell-enriched	High (secreted to blood)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.759	1.45e-07	yes	0.0	no	no	no	not tested	not an approved target	Moderate	3.534	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
482	Chronic sinusitis	Respiratory	Interleukin-18 receptor accessory protein	IL18RAP	CD markers, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.938	1.26e-03	yes	0.109	no	no	no	not tested	not an approved target	Low-moderate	3.522	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
483	Major coronary heart disease event	Cardiovascular	Tyrosine-protein kinase Fes/Fps	FES	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.89	1.28e-05	yes	0.033	no	no	no	replicated (FinnGen + UK Biobank)	not an approved target	Uncertain	3.512	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
484	Pain (limb, back, neck, head abdominally)	Other	B-cell antigen receptor complex-associated protein beta chain	CD79B	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins	Ig/B-cell/Fc	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.847	3.46e-02	yes	0.714	no	no	no	not tested	not an approved target	High (FDA-precedented class, tractable)	3.506	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
485	Statin medication	Cardiovascular	Tyrosine-protein kinase Fes/Fps	FES	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Immune-cell-enriched	Measured (Olink Explore panel)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.939	1.03e-02	yes	0.595	no	no	no	not tested	not an approved target	Uncertain	3.493	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Agonize (protective; intracellular route caution)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
486	Childhood allergy (age < 16)	Respiratory	Interleukin-18 receptor accessory protein	IL18RAP	CD markers, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Cytokine/Interleukin	High (soluble receptor / shed)	NA (train PIRS)	NA	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	NA (train PIRS)	0.891	5.46e-04	yes	0.004	no	no	no	not tested	not an approved target	Low-moderate	3.489	3	Causal nomination (MR only)	Causal-only (PIRS not trained)	Replace / decoy-receptor or agonist (protective, soluble)	Target nomination (causal, needs coloc)	Panel B/C (performance + signature)	Transcript-to-protein bridge: acquire cis-pQTL, test colocalization	Nominate: causal but needs colocalization before resourcing
