gene	acc	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
HAVCR1	GCST90241394	Ankylosing spondylitis	M13_ANKYLOSPON	3015	7.819665132200941e-50	0.8145012367426203	1.5366525656405016e-50	0.16003323186779764	0.025465531389585124
TNFSF8	GCST90243150	Crohn's disease	CHRONNAS	2993	0.5883497797581951	0.19439896077648774	0.14427462716472197	0.04764501441124335	0.025331617889351846
SIGLEC9	GCST90242813	Guillain-Barre	G6_GUILBAR	3698	0.0	0.7241646762184594	0.0	0.25064646645182265	0.025188857329823858
TNFSF14	GCST90243143	Guillain-Barre	G6_GUILBAR	3886	0.0762412759426797	0.6616213593217863	0.02458344741614645	0.2133107738165346	0.024243143502852928
TNFRSF14	GCST90243162	Systemic lupus erythematosus	SLE_FG	2840	0.6013411005264582	0.1707074529548491	0.15879308277076798	0.04505374334794067	0.024104620399984122
TNFSF14	GCST90243143	Coeliac disease	K11_COELIAC	3886	0.06946097083681459	0.6027819101481968	0.0313859238683447	0.2723428405965471	0.02402835455009702
IL4	GCST90241639	Psoriasis	L12_PSORIASIS	2132	4.492710126923213e-06	6.980434670538112e-07	0.8456282548719846	0.13136434801063193	0.023002206363789066
HAVCR1	GCST90241394	Coeliac disease	K11_COELIAC	3015	6.60327393194313e-50	0.6878011645243145	2.7772091251334655e-50	0.28925290269649445	0.022945932779185177
KIAA0319	GCST90240986	Multiple sclerosis	G6_MS	4217	0.38756655432777265	0.09124661910013275	0.40380682370142607	0.09504781000820346	0.022332192862464996
SIGLEC7	GCST90242811	Rheumatoid arthritis	M13_RHEUMA	3705	2.9990343064592694e-11	0.851964948150373	4.426798411530892e-12	0.12573408237799982	0.02230096943721067
IL6ST	GCST90241649	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	3155	0.09837968156527747	0.7504870385270919	0.014959626762002307	0.11409707696708986	0.0220765761785385
SWAP70	GCST90242931	Sjogren syndrome	M13_SJOGREN	3179	7.67444401778825e-18	0.8233900851123056	1.4471377929756548e-18	0.1552418546260449	0.021368060261646196
IL4	GCST90241639	Sarcoidosis	D3_SARCOIDOSIS	2132	0.2334425247480942	0.03627054155050763	0.613791163321933	0.09534509811477998	0.02115067226468525
TNFRSF14	GCST90243162	Coeliac disease	K11_COELIAC	2840	0.0001564290940624592	4.440676380187321e-05	0.7623482339554667	0.21639276282247388	0.021058167364194906
SIGLEC9	GCST90242813	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	3698	0.0	0.7580878053945317	0.0	0.2210807590871347	0.020831435518422054
LTBR	GCST90243176	Ankylosing spondylitis	M13_ANKYLOSPON	2559	0.1390899280430582	0.0209115888361145	0.7121836829027276	0.10705307577183301	0.02076172444626674
SIGLEC9	GCST90242813	Autoimmune hyperthyroidism	AUTOIMMUNE_HYPERTHYROIDISM	3698	0.0	0.8147913345361827	0.0	0.1651561841661019	0.02005248129776128
CD226	GCST90240639	Crohn's disease	CHRONNAS	4049	0.4629587805671482	0.10974539343241575	0.3292271161382818	0.07802396458305211	0.020044745279102213
CD226	GCST90240640	Crohn's disease	CHRONNAS	4049	0.41257932574699147	0.16015400582442763	0.29340042201501665	0.11387144367689747	0.01999480273666667
CD226	GCST90240639	Ankylosing spondylitis	M13_ANKYLOSPON	4049	0.542658843351578	0.12863846796520745	0.24958313803672685	0.059144254496365484	0.019975296150122255
TNFSF14	GCST90243143	Systemic lupus erythematosus	SLE_FG	3886	0.07865296413226022	0.6825499757244053	0.02264510233183617	0.19649441178873822	0.01965754602276029
IFNGR2	GCST90241558	Psoriasis	L12_PSORIASIS	2801	0.10586190451764943	0.019175017419050207	0.7241918411680874	0.13115496662056084	0.019616270274652067
LTBR	GCST90243176	Sarcoidosis	D3_SARCOIDOSIS	2559	0.028347226007824	0.004261886847310165	0.8241618737046825	0.1238899509903766	0.019339062449806956
CD226	GCST90240640	Autoimmune thyroiditis	E4_THYROIDITAUTOIM	4049	0.4707305030963023	0.1827269837094368	0.23624158684114271	0.09168504960970968	0.01861587674340847
IFNGR2	GCST90241557	Psoriasis	L12_PSORIASIS	2801	0.10501192449857327	0.02016854688674203	0.7183772037139858	0.13795273972668354	0.0184895851740153
