gene_symbol	phenocode	disease	uk_id	uk_trait	match_method	uk_ncase	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
IL4	J10_ASTHMA_EXMORE	Asthma (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.6903683447516952	8.82763849781826e-10	0.9474871605863919	1.344527805921941e-14	-	-	True	True	True
IL4R	J10_ASTHMA_EXMORE	Asthma (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.8188116823340597	2.0400496451893957e-08	0.9821191529764962	3.3027065121559794e-10	-	-	True	True	True
SERPING1	J10_ASTHMA_EXMORE	Asthma (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	1.162979973113265	5.177339522747978e-06	1.0055505532676525	0.029416933246534722	+	+	True	True	True
CD226	J10_ASTHMA_EXMORE	Asthma (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.9096152327132644	0.0019115467002553	0.9950216194398971	0.008657102651763773	-	-	True	True	True
CD70	J10_ASTHMA_EXMORE	Asthma (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.7319151091360453	0.0122279010131482	0.9631507902284926	8.82657372789312e-08	-	-	True	True	True
ERBB3	J10_ASTHMA_EXMORE	Asthma (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.8380254737275218	0.0199035687474798	0.9661637596710915	1.040115972441579e-17	-	-	True	True	True
TGFB2	M13_HALLUXVALGUS	Hallux valgus (acquired)	ukb-d-M13_HALLUXVALGUS	Hallux valgus (acquired)	exact-code	5370	2.6973509048062287	0.0018816064793028	1.010275596810787	0.0680318104828257	+	+	True	False	False
MAP1LC3A	M13_HALLUXVALGUS	Hallux valgus (acquired)	ukb-d-M13_HALLUXVALGUS	Hallux valgus (acquired)	exact-code	5370	0.8944576354860955	0.0244638667253075	0.9987515919749741	0.021446350322615992	-	-	True	True	True
CA8	M13_HALLUXVALGUS	Hallux valgus (acquired)	ukb-d-M13_HALLUXVALGUS	Hallux valgus (acquired)	exact-code	5370	0.7730495450089695	0.0371925727443268	1.0015584004888658	0.3219490324212543	-	+	False	False	False
TSPAN15	I9_VTE	Venous thromboembolism	ukb-d-I9_VTE	Venous thromboembolism	exact-code	4620	0.7318646631299554	4.331175869016915e-07	0.9934372973952109	2.3269741943158364e-07	-	-	True	True	True
PDLIM7	I9_VTE	Venous thromboembolism	ukb-d-I9_VTE	Venous thromboembolism	exact-code	4620	0.7184121014283523	0.0381407557588447	0.9967341819672523	0.15034634753052536	-	-	True	False	False
PSRC1	I9_CHD	Major coronary heart disease event	ukb-d-I9_CHD	Major coronary heart disease event	exact-code	10157	0.8503219654685883	1.8926191055315358e-15	0.9934118306305958	4.114225795516748e-12	-	-	True	True	True
PLAUR	I9_CHD	Major coronary heart disease event	ukb-d-I9_CHD	Major coronary heart disease event	exact-code	10157	1.5867849949293351	6.299007229359608e-06	1.009517112088651	0.025172064217889523	+	+	True	True	True
FES	I9_CHD	Major coronary heart disease event	ukb-d-I9_CHD	Major coronary heart disease event	exact-code	10157	0.8904816949537475	1.2775785136506686e-05	0.9942446641867058	9.915787680972723e-09	-	-	True	True	True
LPL	I9_CHD	Major coronary heart disease event	ukb-d-I9_CHD	Major coronary heart disease event	exact-code	10157	0.9316830096525952	0.018598724123518	0.9969542341908159	2.625798890554845e-05	-	-	True	True	True
VNN2	I9_CHD	Major coronary heart disease event	ukb-d-I9_CHD	Major coronary heart disease event	exact-code	10157	1.0454011597851285	0.024087697510785	0.999805725563132	0.7296611889092435	+	-	False	False	False
SCARB1	I9_CHD	Major coronary heart disease event	ukb-d-I9_CHD	Major coronary heart disease event	exact-code	10157	0.9072242638039276	0.0298988980159263	0.9963736688621365	0.002993852083836748	-	-	True	True	True
IL18RAP	J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.9208904584039718	3.730689735623657e-15	0.9899019442131409	1.9528591529016438e-33	-	-	True	True	True
ERBB2	J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	2.5117281702729644	6.407249370969635e-13	1.1306446843383378	1.417492417109796e-33	+	+	True	True	True
IL4	J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.6605963380916651	2.3171730726078692e-10	0.9474871605863919	1.344527805921941e-14	-	-	True	True	True
IL4R	J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.8213989285656738	1.7190535580498808e-06	0.9821191529764962	3.3027065121559794e-10	-	-	True	True	True
SERPING1	J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	1.163457501518054	8.245577597483483e-05	1.0055505532676525	0.029416933246534722	+	+	True	True	True
ERBB3	J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.8152215108843451	0.0076655723393712	0.9661637596710915	1.040115972441579e-17	-	-	True	True	True
CD226	J10_ASTHMA_MAIN_EXMORE	Asthma (only as main-diagnosis) (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.9111426564564064	0.0153765478468439	0.9950216194398971	0.008657102651763773	-	-	True	True	True
CDKN1A	I9_HEARTFAIL	Heart failure, strict	ukb-d-I9_HEARTFAIL	Heart failure,strict	exact-code	1405	1.4800683450158931	3.2219598714041936e-13	1.0001635648951155	0.8295137317297183	+	+	True	False	False
CDKN1A	CARDIAC_ARRHYTM	Cardiac arrhythmias	ukb-d-CARDIAC_ARRHYTM	Cardiac arrhytmias, COPD co-morbidities	exact-code	8801	1.3278349534185807	7.122774775720966e-12	1.0026234115076051	0.162806201723006	+	+	True	False	False
C2	RHEUMA_NOS	Other/unspecified rheumatoid arthritis	ukb-d-RHEUMA_NOS	Other/unspecified rheumatoid arthritis	exact-code	1281	4.758153515024508	7.676269253345186e-11	1.0036155404561478	7.755485744437838e-05	+	+	True	True	True
IL6ST	RHEUMA_NOS	Other/unspecified rheumatoid arthritis	ukb-d-RHEUMA_NOS	Other/unspecified rheumatoid arthritis	exact-code	1281	2.5105364366870973	0.006247457603573	1.0058861259520107	1.925300059305309e-06	+	+	True	True	True
CTLA4	RHEUMA_NOS	Other/unspecified rheumatoid arthritis	ukb-d-RHEUMA_NOS	Other/unspecified rheumatoid arthritis	exact-code	1281	0.5064176969838864	0.00757910926467	0.9965295585594879	0.00021733691271571564	-	-	True	True	True
PSRC1	I9_MI_STRICT	Myocardial infarction, strict	ukb-d-I9_MI_STRICT	Myocardial infarction, strict	exact-code	7018	0.8424693750152538	1.7662745744246235e-09	0.9955485391455392	2.3102833292300378e-08	-	-	True	True	True
PLAUR	I9_MI_STRICT	Myocardial infarction, strict	ukb-d-I9_MI_STRICT	Myocardial infarction, strict	exact-code	7018	1.7668849711313046	3.649107166599149e-05	1.00756697293471	0.03326023340163083	+	+	True	True	True
FES	I9_MI_STRICT	Myocardial infarction, strict	ukb-d-I9_MI_STRICT	Myocardial infarction, strict	exact-code	7018	0.8779495165705917	0.0009280847199209	0.9959266289877076	1.2770396545293419e-06	-	-	True	True	True
MAPKAPK2	K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	ukb-b-7584	Non-cancer illness code, self-reported: ulcerative colitis	name-match	2439	2.636683249863128	3.461192909165125e-09	1.0016536600345478	0.174505223212207	+	+	True	False	False
IL24	K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	ukb-b-7584	Non-cancer illness code, self-reported: ulcerative colitis	name-match	2439	1.7637698791270986	0.0029529060247667	1.0007297568690232	0.4736882343110051	+	+	True	False	False
CCL8	K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	ukb-b-7584	Non-cancer illness code, self-reported: ulcerative colitis	name-match	2439	6.055553172300361	0.005546449601892	0.9998141090181507	0.9558890873900544	+	-	False	False	False
HAVCR1	K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	ukb-b-7584	Non-cancer illness code, self-reported: ulcerative colitis	name-match	2439	0.4323213606439787	0.0068950854806005	0.9977599450516756	0.1666414732907706	-	-	True	False	False
ERBB2	K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	ukb-b-7584	Non-cancer illness code, self-reported: ulcerative colitis	name-match	2439	0.3362654250602673	0.0477331505665214	0.9941812074734087	0.01182204120120154	-	-	True	True	True
ARG1	T2D	Type 2 diabetes, definitions combined	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	name-match	2972	0.922169312756154	2.2996617969185925e-08	0.9989195331168524	0.00380920401814154	-	-	True	True	True
SPRY2	T2D	Type 2 diabetes, definitions combined	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	name-match	2972	1.3349625036172446	7.187647053624105e-06	1.0013411899687266	0.30980239464669335	+	+	True	False	False
ANPEP	T2D	Type 2 diabetes, definitions combined	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	name-match	2972	1.048103391096572	2.2073614168494816e-05	1.0005838591442744	0.008514762315384979	+	+	True	True	True
SPINK8	T2D	Type 2 diabetes, definitions combined	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	name-match	2972	0.8340418525474392	8.245577597483483e-05	0.9986776843000786	0.09845098470374683	-	-	True	False	False
NOMO1	T2D	Type 2 diabetes, definitions combined	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	name-match	2972	1.0969062500032989	0.0020906427087545	1.0007749910397024	0.1096717944670395	+	+	True	False	False
EVI2B	T2D	Type 2 diabetes, definitions combined	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	name-match	2972	0.774322451553972	0.004391372088591	0.9972442925380808	0.07888106548095367	-	-	True	False	False
CASP3	T2D	Type 2 diabetes, definitions combined	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	name-match	2972	1.0847426735314722	0.0198063071135177	1.000416307386966	0.4471541651372761	+	+	True	False	False
PIK3IP1	T2D	Type 2 diabetes, definitions combined	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	name-match	2972	1.0561174416647163	0.0319839945600214	1.0003936063787966	0.28831468193922977	+	+	True	False	False
DENR	M13_OTHERJOINT	Other joint disorders	ukb-d-M13_OTHERJOINT	#Other joint disorders	exact-code	27347	0.88418982648316	0.0216113164187754	0.9898275245440591	0.0027430853064727453	-	-	True	True	True
BMP6	K11_HERNIA	Hernia	ukb-d-K11_HERNIA	Hernia	exact-code	26197	0.7168604715909629	1.0544441660274037e-07	0.9855804348789717	0.003895465592365071	-	-	True	True	True
MXRA8	K11_HERNIA	Hernia	ukb-d-K11_HERNIA	Hernia	exact-code	26197	1.4612041743565505	0.0075276428544536	1.0246204221404953	0.03064174529740667	+	+	True	True	True
PIK3IP1	K11_HERNIA	Hernia	ukb-d-K11_HERNIA	Hernia	exact-code	26197	0.943590860429632	0.0128267242976087	1.0007230079320435	0.5895984475455083	-	+	False	False	False
EVI2B	K11_HERNIA	Hernia	ukb-d-K11_HERNIA	Hernia	exact-code	26197	1.2564340260682276	0.0397880012110379	1.0029123715760326	0.6099491314768279	+	+	True	False	False
CD70	CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_EXALLC	Primary_lymphoid and hematopoietic malignant neoplasms (controls excluding all cancers)	ukb-d-C3_PRIMARY_LYMPHOID_HEMATOPOIETIC	Primary_lymphoid and hematopoietic malignant neoplasms	name-match	2710	0.3702203813090532	4.331175869016915e-07	0.9970313993458946	0.16708114612147826	-	-	True	False	False
ACTA2	CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_EXALLC	Primary_lymphoid and hematopoietic malignant neoplasms (controls excluding all cancers)	ukb-d-C3_PRIMARY_LYMPHOID_HEMATOPOIETIC	Primary_lymphoid and hematopoietic malignant neoplasms	name-match	2710	1.0809215532595988	0.0055251490407263	1.0003960986835572	0.08082881725227388	+	+	True	False	False
IL6ST	RHEU_ARTHRITIS_OTH	Other arthritis (FG)	ukb-d-RHEU_ARTHRITIS_OTH	Other arthritis (FG)	exact-code	1212	2.073557495675644	1.2536684871738123e-06	1.0002444654269358	0.8387469549735405	+	+	True	False	False
LTBP2	H7_GLAUCOMA	Glaucoma	ukb-b-8398	Non-cancer illness code, self-reported: glaucoma	name-match	4737	0.6674232931893709	1.7642560080875782e-06	0.9936095198915742	1.006612242333533e-05	-	-	True	True	True
ANXA11	H7_GLAUCOMA	Glaucoma	ukb-b-8398	Non-cancer illness code, self-reported: glaucoma	name-match	4737	1.1922062043746104	0.0006426698589958	1.0025248153055628	0.000543705304634759	+	+	True	True	True
CRISP3	H7_GLAUCOMA	Glaucoma	ukb-b-8398	Non-cancer illness code, self-reported: glaucoma	name-match	4737	1.320205869625204	0.0302193921123628	0.9990062192579765	0.5148129055347058	+	-	False	False	False
SPON2	H7_GLAUCOMA	Glaucoma	ukb-b-8398	Non-cancer illness code, self-reported: glaucoma	name-match	4737	1.272214258130565	0.0364987567353841	1.0013266449455624	0.29714901815150363	+	+	True	False	False
TACC3	M13_ARTHROSIS	Arthrosis	ukb-d-M13_ARTHROSIS	#Arthrosis	exact-code	24977	1.0558053436076724	7.484632782802744e-06	1.001085044012773	0.23240963438147694	+	+	True	False	False
MAPRE3	M13_ARTHROSIS	Arthrosis	ukb-d-M13_ARTHROSIS	#Arthrosis	exact-code	24977	0.8151954767077417	0.00014809124014	0.9943565215226376	0.1402179232257333	-	-	True	False	False
EVI2B	M13_ARTHROSIS	Arthrosis	ukb-d-M13_ARTHROSIS	#Arthrosis	exact-code	24977	0.7849279091557434	0.0049672642897199	0.9814952959631581	0.0008260152061054946	-	-	True	True	True
CEBPB	M13_ARTHROSIS	Arthrosis	ukb-d-M13_ARTHROSIS	#Arthrosis	exact-code	24977	1.2178244726754428	0.0177326691346052	1.0093224768281195	0.06910731229532284	+	+	True	False	False
FES	M13_ARTHROSIS	Arthrosis	ukb-d-M13_ARTHROSIS	#Arthrosis	exact-code	24977	1.0676269564798528	0.0375920686777888	1.0061743763190283	6.957566673756492e-05	+	+	True	True	True
SPP1	M13_GOUT	Gout	ukb-b-13251	Non-cancer illness code, self-reported: gout	name-match	6543	1.2141203206381934	3.83546590510519e-06	1.005164257546168	6.534076159768383e-18	+	+	True	True	True
MAPKAPK2	ULCERNAS	Ulcerative colitis, NAS	ukb-d-ULCERNAS	Ulcerative colitis, NAS	exact-code	1903	2.3777072411162683	1.3348310200944751e-05	1.0004400730228282	0.7497900553699495	+	+	True	False	False
IL4	L12_PSORIASIS	Psoriasis	ukb-b-10537	Non-cancer illness code, self-reported: psoriasis	name-match	5314	1.7955955190555564	1.3837429061878042e-05	1.0053949877183124	0.02169738953057303	+	+	True	True	True
IFNGR2	L12_PSORIASIS	Psoriasis	ukb-b-10537	Non-cancer illness code, self-reported: psoriasis	name-match	5314	0.8757486654865103	0.0096148211343015	0.9977459393309058	4.340952559804905e-05	-	-	True	True	True
C2	L12_PSORIASIS	Psoriasis	ukb-b-10537	Non-cancer illness code, self-reported: psoriasis	name-match	5314	1.6201595163871174	0.0467251080603883	1.007124379378856	9.83549455515991e-07	+	+	True	True	True
KIAA0319	SPONDYLOPATHY_FG	Spondylopathies (FG)	ukb-d-M13_SPONDYLOPATHY	#Spondylopathies	name-match	4393	0.7075637618782429	4.26534771306845e-05	0.9985923168127158	0.09339968313203935	-	-	True	False	False
C2	SPONDYLOPATHY_FG	Spondylopathies (FG)	ukb-d-M13_SPONDYLOPATHY	#Spondylopathies	name-match	4393	2.6322505581511315	7.397208869940775e-05	0.9978058853815455	0.1941711774242152	+	-	False	False	False
KIAA0319	M13_ANKYLOSPON	Ankylosing spondylitis	ukb-b-18194	Non-cancer illness code, self-reported: ankylosing spondylitis	name-match	1296	0.6475203748690394	7.519151210274785e-05	0.9997687926620757	0.518515360993395	-	-	True	False	False
RAB44	M13_ANKYLOSPON	Ankylosing spondylitis	ukb-b-18194	Non-cancer illness code, self-reported: ankylosing spondylitis	name-match	1296	0.8122566172256516	0.0157498024239094	0.9998619182945774	0.531394147924358	-	-	True	False	False
AXL	ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	ukb-d-ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	exact-code	2302	2.75506319869451	8.271350789348621e-05	1.006560590537959	4.521489385513348e-06	+	+	True	True	True
TNFRSF14	ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	ukb-d-ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	exact-code	2302	0.7117248589088566	0.0005743499672151	0.9993513194060798	0.2008171879936104	-	-	True	False	False
IL18RAP	ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	ukb-d-ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	exact-code	2302	0.8597010824242423	0.0020828718706951	0.9988399857504985	1.1414956654404172e-06	-	-	True	True	True
BMP6	M13_SPINSTENOSIS	Spinal stenosis	ukb-d-M13_SPINSTENOSIS	Spinal stenosis	exact-code	1910	1.5548541426750122	8.697297761606608e-05	1.0012665728620285	0.37452428150759676	+	+	True	False	False
IL18RAP	ASTHMA_PNEUMONIA	Asthma-related pneumonia	ukb-d-ASTHMA_PNEUMONIA	Asthma-related pneumonia	exact-code	5900	0.9250672293313488	0.0001998376438478	1.0000648171725222	0.8644300886280436	-	+	False	False	False
SERPING1	ASTHMA_PNEUMONIA	Asthma-related pneumonia	ukb-d-ASTHMA_PNEUMONIA	Asthma-related pneumonia	exact-code	5900	1.2325363387109471	0.0017595519745027	1.0032113452340832	0.0051211289089809625	+	+	True	True	True
