gene_symbol	phenocode	disease	uk_id	uk_trait	match_method	uk_ncase	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
VAT1	M13_SHOULDER	Shoulder lesions	ukb-d-M13_SHOULDER	Shoulder lesions	exact-code	7243	0.899448100817927	0.0258866214219995	0.9983106663705118	0.14843200422582423	-	-	True	False	False
TMEM106A	M13_SHOULDER	Shoulder lesions	ukb-d-M13_SHOULDER	Shoulder lesions	exact-code	7243	0.8458589007567047	0.0276262378130988	0.9971114293748563	0.11830566002645569	-	-	True	False	False
DUSP13	M13_SHOULDER	Shoulder lesions	ukb-d-M13_SHOULDER	Shoulder lesions	exact-code	7243	1.904789278914735	0.0354887377075775	1.0186340972321586	0.009963876895563276	+	+	True	True	True
LTBP2	M13_HALLUXRIGIDUS	Hallux rigidus	ukb-d-M13_HALLUXRIGIDUS	Hallux rigidus	exact-code	1130	1.7653771130377065	0.0297573188236247	1.0002176487643462	0.8113141306941033	+	+	True	False	False
LTBP3	G6_CARPTU	Carpal tunnel syndrome	ukb-d-G6_CARPTU	Carpal tunnel syndrome	exact-code	7973	1.1199047202568422	0.0308899424720015	1.0004832148288365	0.5736456420560805	+	+	True	False	False
CD46	M13_DORSALGIA	Dorsalgia	ukb-d-M13_DORSALGIA	Dorsalgia	exact-code	8799	0.6812608569589906	0.0329968770846153	1.0018206052375433	0.7565467059466529	-	+	False	False	False
TMEM106A	M13_ROTATORCUFF	Rotator cuff syndrome	ukb-d-M13_ROTATORCUFF	Rotator cuff syndrome	exact-code	2285	0.8240726809654215	0.0338579059225456	0.9971163024688042	0.005830906410004964	-	-	True	True	True
VAT1	M13_ROTATORCUFF	Rotator cuff syndrome	ukb-d-M13_ROTATORCUFF	Rotator cuff syndrome	exact-code	2285	0.8855868080911896	0.0358394091735763	0.9981525797690056	0.005196858315019445	-	-	True	True	True
MERTK	M13_ROTATORCUFF	Rotator cuff syndrome	ukb-d-M13_ROTATORCUFF	Rotator cuff syndrome	exact-code	2285	1.0761155069281636	0.0412838203119931	1.0003991123946032	0.3619503179125452	+	+	True	False	False
CRIM1	G6_SLEEPAPNO	Sleep apnoea	ukb-d-G6_SLEEPAPNO	Sleep apnoea	exact-code	2249	0.8361071400953787	0.0351659270479638	0.9986551069192365	0.27735843895280793	-	-	True	False	False
NT5E	M13_LOWBACKPAIN	Low back pain	ukb-d-M13_LOWBACKPAIN	Low back pain	exact-code	5423	0.9450952875271084	0.0372517608001582	1.0003773930407505	0.4250379014421101	-	+	False	False	False
ERBB2	BRONCHITIS	Bronchitis	ukb-d-BRONCHITIS	Bronchitis	exact-code	4283	1.431655840928499	0.0454180451615326	0.9969337234636114	0.4339784750305873	+	-	False	False	False
