olink_id	gene_symbol	protein_name	immune_class	immune_score	cytokine	chemokine	interferon_axis	TNF_axis	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	msigdb_c7_immune_gene	rna_blood_cell_specificity	hpa_disease	hpa_protein_class
258	BHLHE40	Class E basic helix-loop-helix protein 40	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced		Predicted intracellular proteins, Transcription factors
264	BLNK	B-cell linker protein	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;B-cell;Dendritic	0	1	Group enriched		Disease related genes, Human disease related genes, Predicted intracellular proteins
267	BLVRB	Flavin reductase	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	1	Immune cell enhanced	FDA approved drug targets	Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
269	BMP4	Bone morphogenetic protein 4	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	1	1	Immune cell enhanced	Cancer-related genes, Disease variant, Microphthalmia	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins
270	BMP6	Bone morphogenetic protein 6	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	1	Immune cell enhanced	Disease variant	Predicted secreted proteins
284	BRDT	Bromodomain testis-specific protein	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced	Disease variant	Disease related genes, Human disease related genes, Predicted intracellular proteins
290	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte	0	1	Immune cell enhanced	FDA approved drug targets	CD markers, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
295	BTN1A1	Butyrophilin subfamily 1 member A1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	0	1	Immune cell enhanced		Predicted membrane proteins
327	CA2	Carbonic anhydrase 2	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced	Disease variant, FDA approved drug targets, Osteopetrosis	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
329	CA4	Carbonic anhydrase 4	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enriched	Disease variant, FDA approved drug targets, Retinitis pigmentosa	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins
331	CA6	Carbonic anhydrase 6	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	1	1	Group enriched	FDA approved drug targets	Enzymes, FDA approved drug targets, Metabolic proteins, Predicted secreted proteins
333	CA8	Carbonic anhydrase-related protein	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enriched	Cancer-related genes, Disease variant, Intellectual disability	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins
339	CACNB3	Voltage-dependent L-type calcium channel subunit beta-3	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	1	Immune cell enhanced	FDA approved drug targets	Essential proteins, FDA approved drug targets, Predicted intracellular proteins, Transporters
342	CALB1	Calbindin	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	1	Immune cell enhanced		Predicted intracellular proteins
353	CAPG	Macrophage-capping protein	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte;B-cell;NK-cell;Dendritic	0	1	Group enriched		Plasma proteins, Predicted intracellular proteins
361	CASP3	Caspase-3	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Group enriched	Cancer-related genes, FDA approved drug targets	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins
367	CAT	Catalase	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enriched	Cancer-related genes, FDA approved drug targets	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
371	CBS	Cystathionine beta-synthase	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enriched	Disease variant	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins
377	CCDC50	Coiled-coil domain-containing protein 50	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Immune cell enriched	Deafness, Non-syndromic deafness	Disease related genes, Human disease related genes, Predicted intracellular proteins
404	CCN2	CCN family member 2	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	1	1	Immune cell enriched	Cancer-related genes, Disease variant, Dwarfism	Cancer-related genes, Plasma proteins, Predicted secreted proteins
405	CCN3	CCN family member 3	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	1	Group enriched		Plasma proteins, Predicted secreted proteins, Transporters
475	CDA	Cytidine deaminase	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced	FDA approved drug targets	Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins
