olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
1	A1BG	Alpha-1B-glycoprotein	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
2	AAMDC	Mth938 domain-containing protein	Predicted intracellular proteins				Immune cell enhanced	basophil: 144.6	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
3	AARSD1	Alanyl-tRNA editing protein Aarsd1	Predicted intracellular proteins	Protein biosynthesis			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
4	ABCA2	ATP-binding cassette sub-family A member 2	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Transport	Translocase	Disease variant, Epilepsy, Intellectual disability	Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
5	ABHD14B	Protein ABHD14B	Plasma proteins, Predicted intracellular proteins		Acyltransferase, Transferase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
6	ABL1	Tyrosine-protein kinase ABL1	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins	Apoptosis, Autophagy, Cell adhesion, DNA damage, DNA repair, Endocytosis	DNA-binding, Kinase, Transferase, Tyrosine-protein kinase	Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
7	ABO	Histo-blood group ABO system transferase	Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins				Immune cell enhanced	eosinophil: 2.1;naive B-cell: 2.1	Low lineage specificity	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte;B-cell	1	0	2	1	Immune-cell-enriched
8	ABRAXAS2	BRISC complex subunit Abraxas 2	Predicted intracellular proteins	Cell cycle, Cell division, Mitosis, Ubl conjugation pathway			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
9	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Fatty acid metabolism, Lipid metabolism	Acyltransferase, Transferase		Low immune cell specificity		Low lineage specificity		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
10	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Fatty acid metabolism, Lipid metabolism	Oxidoreductase	Disease variant	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
11	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Fatty acid metabolism, Lipid metabolism	Oxidoreductase	Disease variant	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
12	ACAN	Aggrecan core protein	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins			Disease variant, Dwarfism	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
13	ACE	Angiotensin-converting enzyme	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins		Calmodulin-binding, Carboxypeptidase, Hydrolase, Metalloprotease, Protease	FDA approved drug targets	Immune cell enhanced	memory B-cell: 1.0	Low lineage specificity	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	1	0	2	1	Immune-cell-enriched
14	ACE2	Angiotensin-converting enzyme 2	Enzymes, Metabolic proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Host-virus interaction	Carboxypeptidase, Host cell receptor for virus entry, Hydrolase, Metalloprotease, Protease, Receptor		Not detected in immune cells		Not detected	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
15	ACHE	Acetylcholinesterase	Blood group antigen proteins, Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins	Neurotransmitter degradation	Blood group antigen, Hydrolase, Serine esterase	FDA approved drug targets	Not detected in immune cells		Not detected	Intracellular and membrane	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	1	0	Other immune-annotated
16	ACOT13	Acyl-coenzyme A thioesterase 13	Enzymes, Metabolic proteins, Predicted intracellular proteins	Lipid metabolism	Hydrolase		Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
17	ACOX1	Peroxisomal acyl-coenzyme A oxidase 1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Fatty acid metabolism, Lipid metabolism	Oxidoreductase	Deafness, Disease variant, Neuropathy	Group enriched	basophil: 61.8;neutrophil: 84.5	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
18	ACP1	Low molecular weight phosphotyrosine protein phosphatase	Enzymes, Plasma proteins, Predicted intracellular proteins		Hydrolase, Protein phosphatase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
19	ACP5	Tartrate-resistant acid phosphatase type 5	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins		Hydrolase	Disease variant	Immune cell enhanced	memory B-cell: 172.5	Low lineage specificity	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	0	0	2	1	Immune-cell-enriched
20	ACP6	Lysophosphatidic acid phosphatase type 6	Enzymes, Metabolic proteins, Predicted intracellular proteins	Lipid metabolism, Phospholipid metabolism	Hydrolase		Low immune cell specificity		Low lineage specificity	Intracellular and membrane	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
21	ACRBP	Acrosin-binding protein	Predicted secreted proteins				Group enriched	classical monocyte: 12.5;intermediate monocyte: 15.8;myeloid DC: 17.7;non-classical monocyte: 31.2	Group enriched	Secreted in male reproductive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	1	0	2	1	Immune-cell-enriched
22	ACRV1	Acrosomal protein SP-10	Predicted secreted proteins				Not detected in immune cells		Not detected	Secreted in male reproductive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
23	ACSL1	Long-chain-fatty-acid--CoA ligase 1	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Fatty acid metabolism, Lipid metabolism	Ligase		Immune cell enriched	neutrophil: 456.1	Lineage enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
24	ACTA2	Actin, aortic smooth muscle	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins		Hydrolase, Muscle protein	Aortic aneurysm, Disease variant	Immune cell enhanced	T-reg: 58.8	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	0	2	1	Immune-cell-enriched
25	ACTN2	Alpha-actinin-2	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters		Actin-binding	Cardiomyopathy, Disease variant	Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
26	ACTN4	Alpha-actinin-4	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins	Protein transport, Transport	Actin-binding	Disease variant	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
27	ACVRL1	Serine/threonine-protein kinase receptor R3	Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Angiogenesis	Kinase, Receptor, Serine/threonine-protein kinase, Transferase	Disease variant	Group enriched	classical monocyte: 1.5;myeloid DC: 2.1	Group enriched	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
28	ACY1	Aminoacylase-1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins		Hydrolase	Disease variant	Low immune cell specificity		Low lineage specificity		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
29	ACY3	N-acyl-aromatic-L-amino acid amidohydrolase	Enzymes, Metabolic proteins, Predicted intracellular proteins	Host-virus interaction	Hydrolase		Immune cell enhanced	non-classical monocyte: 34.3	Group enriched		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	0	2	1	Immune-cell-enriched
30	ACYP1	Acylphosphatase-1	Enzymes, Metabolic proteins, Predicted intracellular proteins		Hydrolase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
31	ADA	Adenosine deaminase	Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Cell adhesion, Nucleotide metabolism	Hydrolase	Disease variant, FDA approved drug targets, Hereditary hemolytic anemia, SCID	Group enriched	intermediate monocyte: 163.0;NK-cell: 90.4;non-classical monocyte: 351.2;plasmacytoid DC: 211.2	Group enriched		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;NK-cell;Dendritic	0	0	2	1	Immune-cell-enriched
32	ADA2	Adenosine deaminase 2	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins		Heparin-binding, Hydrolase	Disease variant	Low immune cell specificity		Low lineage specificity	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
33	ADAM12	Disintegrin and metalloproteinase domain-containing protein 12	Predicted membrane proteins, Predicted secreted proteins, Transporters	Cell adhesion	Hydrolase, Metalloprotease, Protease		Immune cell enriched	MAIT T-cell: 4.5	Lineage enriched	Secreted in female reproductive system	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	1	0	2	1	Immune-cell-enriched
34	ADAM15	Disintegrin and metalloproteinase domain-containing protein 15	Predicted intracellular proteins, Predicted membrane proteins	Angiogenesis, Cell adhesion, Collagen degradation	Hydrolase, Metalloprotease, Protease		Group enriched	classical monocyte: 39.1;intermediate monocyte: 26.5;myeloid DC: 64.1	Group enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
35	ADAM22	Disintegrin and metalloproteinase domain-containing protein 22	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Cell adhesion	Receptor	Disease variant, Epilepsy	Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
36	ADAM23	Disintegrin and metalloproteinase domain-containing protein 23	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Cell adhesion			Immune cell enriched	memory CD4 T-cell: 2.1	Lineage enriched	Secreted in brain	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	1	0	2	1	Immune-cell-enriched
37	ADAM8	Disintegrin and metalloproteinase domain-containing protein 8	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins		Hydrolase, Metalloprotease, Protease		Group enriched	basophil: 107.8;eosinophil: 259.4;neutrophil: 139.8	Lineage enriched	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
38	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins		Hydrolase, Metalloprotease, Protease	Cancer-related genes, Cone-rod dystrophy	Immune cell enhanced	classical monocyte: 4.0	Low lineage specificity	Secreted - unknown location	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	1	0	2	1	Immune-cell-enriched
39	ADAMTS1	A disintegrin and metalloproteinase with thrombospondin motifs 1	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters		Heparin-binding, Hydrolase, Metalloprotease, Protease	Cancer-related genes	Group enriched	gdT-cell: 4.5;NK-cell: 6.6	Group enriched	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell;NK-cell	1	0	2	1	Immune-cell-enriched
40	ADAMTS13	A disintegrin and metalloproteinase with thrombospondin motifs 13	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Blood coagulation, Hemostasis	Hydrolase, Metalloprotease, Protease	Disease variant	Not detected in immune cells		Not detected	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
41	ADAMTS15	A disintegrin and metalloproteinase with thrombospondin motifs 15	Predicted secreted proteins		Hydrolase, Metalloprotease, Protease	Disease variant	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
42	ADAMTS16	A disintegrin and metalloproteinase with thrombospondin motifs 16	Predicted secreted proteins		Hydrolase, Metalloprotease, Protease		Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
43	ADAMTS4	A disintegrin and metalloproteinase with thrombospondin motifs 4	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins, Transporters		Hydrolase, Metalloprotease, Protease	Cancer-related genes	Immune cell enriched	plasmacytoid DC: 4.4	Lineage enriched	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	1	0	2	1	Immune-cell-enriched
44	ADAMTS8	A disintegrin and metalloproteinase with thrombospondin motifs 8	Cancer-related genes, Plasma proteins, Predicted secreted proteins		Heparin-binding, Hydrolase, Metalloprotease, Protease	Cancer-related genes	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
45	ADAMTSL2	ADAMTS-like protein 2	Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins			Disease variant, Dwarfism	Not detected in immune cells		Not detected	Secreted in other tissues	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
46	ADAMTSL4	ADAMTS-like protein 4	Disease related genes, Human disease related genes, Predicted secreted proteins	Apoptosis			Immune cell enhanced	non-classical monocyte: 1.3	Low lineage specificity	Secreted to extracellular matrix	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	1	0	2	1	Immune-cell-enriched
47	ADAMTSL5	ADAMTS-like protein 5	Predicted intracellular proteins, Predicted secreted proteins				Low immune cell specificity		Low lineage specificity	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
48	ADCYAP1R1	Pituitary adenylate cyclase-activating polypeptide type I receptor	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Differentiation, Spermatogenesis	Developmental protein, G-protein coupled receptor, Receptor, Transducer		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
49	ADD1	Alpha-adducin	Plasma proteins, Predicted intracellular proteins		Actin-binding, Calmodulin-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
50	ADGRB3	Adhesion G protein-coupled receptor B3	G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Transporters		G-protein coupled receptor, Receptor, Transducer		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
51	ADGRD1	Adhesion G-protein coupled receptor D1	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer		Group enriched	classical monocyte: 2.0;intermediate monocyte: 2.3;myeloid DC: 1.1;non-classical monocyte: 1.9	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte;Dendritic	0	0	2	1	Immune-cell-enriched
52	ADGRE1	Adhesion G protein-coupled receptor E1	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Adaptive immunity, Immunity	G-protein coupled receptor, Receptor, Transducer		Immune cell enhanced	basophil: 166.6;eosinophil: 325.5	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Granulocyte	0	1	3	1	Immune-cell-enriched
53	ADGRE2	Adhesion G protein-coupled receptor E2	CD markers, Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins	Cell adhesion, Inflammatory response	G-protein coupled receptor, Receptor, Transducer	Disease variant	Group enriched	basophil: 70.2;eosinophil: 74.8;intermediate monocyte: 46.9;neutrophil: 55.8;non-classical monocyte: 90.2	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Myeloid/Monocyte;Granulocyte	0	1	3	1	Immune-cell-enriched
54	ADGRE5	Adhesion G protein-coupled receptor E5	CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Cell adhesion	G-protein coupled receptor, Receptor, Transducer		Low immune cell specificity		Low lineage specificity	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		1	0	0	0	Soluble receptor
55	ADGRF5	Adhesion G protein-coupled receptor F5	G-protein coupled receptors, Plasma proteins, Predicted membrane proteins		G-protein coupled receptor, Receptor, Transducer		Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
56	ADGRG1	Adhesion G-protein coupled receptor G1	Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Cell adhesion, Differentiation, Neurogenesis	Developmental protein, G-protein coupled receptor, Heparin-binding, Receptor, Transducer	Disease variant	Immune cell enhanced	gdT-cell: 160.5	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	T-cell	1	0	2	1	Immune-cell-enriched
57	ADGRG2	Adhesion G-protein coupled receptor G2	Disease related genes, G-protein coupled receptors, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters		G-protein coupled receptor, Receptor, Transducer	Disease variant	Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
58	ADGRV1	Adhesion G-protein coupled receptor V1	Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Sensory transduction, Vision	G-protein coupled receptor, Hydrolase, Receptor, Transducer	Deafness, Retinitis pigmentosa, Usher syndrome	Low immune cell specificity		Low lineage specificity		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
59	ADH1B	All-trans-retinol dehydrogenase	Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Lipid metabolism	Oxidoreductase	FDA approved drug targets	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
60	ADH4	All-trans-retinol dehydrogenase [NAD(+)] ADH4	Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Lipid metabolism	Oxidoreductase		Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
61	ADIPOQ	Adiponectin	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters		Hormone	Diabetes mellitus, Disease variant, Obesity	Not detected in immune cells		Not detected	Secreted to blood	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
62	ADM	Pro-adrenomedullin	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Hormone	Cancer-related genes	Immune cell enriched	neutrophil: 243.4	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
63	ADRA2A	Alpha-2A adrenergic receptor	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters		G-protein coupled receptor, Receptor, Transducer	FDA approved drug targets	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
64	AFAP1	Actin filament-associated protein 1	Predicted intracellular proteins		Actin-binding		Immune cell enhanced	eosinophil: 2.5	Group enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
65	AFM	Afamin	Plasma proteins, Predicted secreted proteins	Protein transport, Transport			Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
66	AFP	Alpha-fetoprotein	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins			Cancer-related genes	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
67	AGBL2	Cytosolic carboxypeptidase 2	Enzymes, Predicted intracellular proteins		Carboxypeptidase, Hydrolase, Metalloprotease, Protease		Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
68	AGER	Advanced glycosylation end product-specific receptor	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	DNA damage, DNA repair, DNA replication, Inflammatory response, Phagocytosis	DNA-binding, Receptor, RNA-binding	Cancer-related genes	Not detected in immune cells		Not detected	Secreted in other tissues	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		1	1	1	0	Soluble receptor
69	AGR2	Anterior gradient protein 2 homolog	Predicted intracellular proteins			Disease variant, Proto-oncogene	Not detected in immune cells		Not detected	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
70	AGR3	Anterior gradient protein 3	Predicted intracellular proteins				Not detected in immune cells		Not detected	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
71	AGRN	Agrin	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Differentiation	Developmental protein	Congenital myasthenic syndrome, Disease variant	Not detected in immune cells		Not detected	Secreted to extracellular matrix	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
72	AGRP	Agouti-related protein	Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins			Disease variant, Obesity	Low immune cell specificity		Low lineage specificity	Secreted in brain	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
73	AGT	Angiotensinogen	Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins		Vasoactive, Vasoconstrictor	Disease variant	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
74	AGXT	Serine--pyruvate aminotransferase	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins		Aminotransferase, Transferase	Disease variant	Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
75	AHCY	Adenosylhomocysteinase	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	One-carbon metabolism	Hydrolase	Disease variant	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
76	AHNAK	Neuroblast differentiation-associated protein AHNAK	Plasma proteins, Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
77	AHNAK2	Protein AHNAK2	Cancer-related genes, Predicted intracellular proteins			Cancer-related genes	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
78	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1	Plasma proteins, Predicted intracellular proteins, Transporters	Host-virus interaction, Stress response	Chaperone		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
