olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
1716	MFGE8	Lactadherin	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Angiogenesis, Cell adhesion, Fertilization		Cancer-related genes	Immune cell enhanced	T-reg: 15.9	Group enriched	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	1	0	2	1	Immune-cell-enriched
1717	MGLL	Monoglyceride lipase	Enzymes, Metabolic proteins, Predicted intracellular proteins	Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid degradation, Lipid metabolism	Hydrolase, Serine esterase		Immune cell enhanced	intermediate monocyte: 84.6	Group enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	0	2	1	Immune-cell-enriched
1718	MGMT	Methylated-DNA--protein-cysteine methyltransferase	Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins	DNA damage, DNA repair	DNA-binding, Methyltransferase, Transferase	Cancer-related genes	Low immune cell specificity		Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1719	MIA	Melanoma-derived growth regulatory protein	Cancer-related genes, Predicted secreted proteins		Growth factor	Cancer-related genes	Immune cell enriched	neutrophil: 2.7	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
1720	MICALL2	MICAL-like protein 2	Predicted intracellular proteins				Not detected in immune cells		Not detected		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1721	MICB_MICA	MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1722	MIF	Macrophage migration inhibitory factor	Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Immunity, Inflammatory response, Innate immunity	Cytokine, Isomerase	Cancer-related genes	Low immune cell specificity		Low lineage specificity	Secreted to blood	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	1	0	Other immune-annotated
1723	MILR1	Allergin-1	Essential proteins, Predicted intracellular proteins, Predicted membrane proteins				Immune cell enhanced	basophil: 83.1	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
1724	MINDY1	Ubiquitin carboxyl-terminal hydrolase MINDY-1	Enzymes, Predicted intracellular proteins	Ubl conjugation pathway	Hydrolase, Protease, Thiol protease		Group enriched	basophil: 99.8;eosinophil: 56.7;neutrophil: 93.9	Lineage enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
1725	MINK1	Misshapen-like kinase 1	Enzymes, Predicted intracellular proteins		Kinase, Serine/threonine-protein kinase, Transferase		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
