	tested	hits
Acute-phase	4932	0.0
CD/Leukocyte surface	64101	22.0
Chemokine axis	29589	13.0
Complement/Coagulation	44382	88.0
Cytokine/Interleukin	110961	166.0
HLA/Antigen presentation	12330	2.0
Ig/B-cell/Fc	17262	5.0
Immune checkpoint	32052	35.0
Immune-cell-enriched	1274685	656.0
Interferon axis	12330	5.0
TNF superfamily	54248	24.0
